Mark,Medal,Temp,Gender,Seconds
2:44:23,FALSE,79,F,9863
2:44:38,FALSE,79,F,9878
2:46:58,FALSE,79,F,10018
2:48:58,FALSE,79,F,10138
2:49:30,FALSE,79,F,10170
2:50:05,FALSE,79,F,10205
2:50:46,FALSE,79,F,10246
2:52:09,FALSE,79,F,10329
2:56:19,FALSE,79,F,10579
2:56:23,FALSE,79,F,10583
3:09:08,FALSE,79,F,11348
3:16:19,FALSE,79,F,11779
3:19:06,FALSE,79,F,11946
3:25:16,FALSE,79,F,12316
3:27:28,FALSE,79,F,12448
2:12:36,TRUE,90,M,7956
2:12:39,TRUE,90,M,7959
2:12:44,TRUE,90,M,7964
2:13:20,FALSE,90,M,8000
2:13:39,FALSE,90,M,8019
2:14:29,FALSE,90,M,8069
2:14:35,FALSE,90,M,8075
2:14:55,FALSE,90,M,8095
2:15:08,FALSE,90,M,8108
2:15:55,FALSE,90,M,8155
2:15:56,FALSE,90,M,8156
2:16:17,FALSE,90,M,8177
2:16:31,FALSE,90,M,8191
2:16:41,FALSE,90,M,8201
2:16:48,FALSE,90,M,8208
2:17:01,FALSE,90,M,8221
2:17:04,FALSE,90,M,8224
2:17:24,FALSE,90,M,8244
2:17:26,FALSE,90,M,8246
2:17:27,FALSE,90,M,8247
2:17:28,FALSE,90,M,8248
2:17:40,FALSE,90,M,8260
2:17:42,FALSE,90,M,8262
2:17:49,FALSE,90,M,8269
2:18:03,FALSE,90,M,8283
2:18:06,FALSE,90,M,8286
2:18:09,FALSE,90,M,8289
2:18:17,FALSE,90,M,8297
2:18:26,FALSE,90,M,8306
2:18:29,FALSE,90,M,8309
2:18:38,FALSE,90,M,8318
2:18:41,FALSE,90,M,8321
2:18:55,FALSE,90,M,8335
2:19:35,FALSE,90,M,8375
2:19:39,FALSE,90,M,8379
2:19:41,FALSE,90,M,8381
2:19:51,FALSE,90,M,8391
2:19:54,FALSE,90,M,8394
2:19:56,FALSE,90,M,8396
2:20:19,FALSE,90,M,8419
2:20:27,FALSE,90,M,8427
2:20:33,FALSE,90,M,8433
2:20:37,FALSE,90,M,8437
2:20:39,FALSE,90,M,8439
2:20:48,FALSE,90,M,8448
2:20:58,FALSE,90,M,8458
2:21:01,FALSE,90,M,8461
2:21:12,FALSE,90,M,8472
2:21:22,FALSE,90,M,8482
2:21:45,FALSE,90,M,8505
2:21:50,FALSE,90,M,8510
2:22:04,FALSE,90,M,8524
2:22:11,FALSE,90,M,8531
2:22:13,FALSE,90,M,8533
2:22:37,FALSE,90,M,8557
2:23:03,FALSE,90,M,8583
2:23:04,FALSE,90,M,8584
2:23:14,FALSE,90,M,8594
2:23:24,FALSE,90,M,8604
2:23:28,FALSE,90,M,8608
2:23:41,FALSE,90,M,8621
2:23:43,FALSE,90,M,8623
2:23:59,FALSE,90,M,8639
2:24:27,FALSE,90,M,8667
2:24:45,FALSE,90,M,8685
2:24:49,FALSE,90,M,8689
2:25:04,FALSE,90,M,8704
2:25:12,FALSE,90,M,8712
2:25:29,FALSE,90,M,8729
2:25:41,FALSE,90,M,8741
2:25:56,FALSE,90,M,8756
2:26:02,FALSE,90,M,8762
2:26:53,FALSE,90,M,8813
2:27:04,FALSE,90,M,8824
2:27:20,FALSE,90,M,8840
2:27:52,FALSE,90,M,8872
2:28:36,FALSE,90,M,8916
2:28:49,FALSE,90,M,8929
2:28:50,FALSE,90,M,8930
2:29:06,FALSE,90,M,8946
2:29:45,FALSE,90,M,8985
2:29:55,FALSE,90,M,8995
2:30:35,FALSE,90,M,9035
2:30:49,FALSE,90,M,9049
2:30:57,FALSE,90,M,9057
2:31:05,FALSE,90,M,9065
2:31:28,FALSE,90,M,9088
2:32:12,FALSE,90,M,9132
2:32:35,FALSE,90,M,9155
2:32:55,FALSE,90,M,9175
2:33:08,FALSE,90,M,9188
2:33:11,FALSE,90,M,9191
2:33:27,FALSE,90,M,9207
2:34:13,FALSE,90,M,9253
2:34:16,FALSE,90,M,9256
2:34:40,FALSE,90,M,9280
2:35:55,FALSE,90,M,9355
2:36:01,FALSE,90,M,9361
2:37:02,FALSE,90,M,9422
2:37:10,FALSE,90,M,9430
2:40:41,FALSE,90,M,9641
2:41:56,FALSE,90,M,9716
2:42:07,FALSE,90,M,9727
2:44:10,FALSE,90,M,9850
2:47:01,FALSE,90,M,10021
2:47:15,FALSE,90,M,10035
2:47:38,FALSE,90,M,10058
2:48:26,FALSE,90,M,10106
2:51:41,FALSE,90,M,10301
2:59:55,FALSE,90,M,10795
4:24:17,FALSE,90,M,15857
2:26:20,TRUE,93,F,8780
2:26:32,TRUE,93,F,8792
2:27:20,TRUE,93,F,8840
2:28:15,FALSE,93,F,8895
2:28:44,FALSE,93,F,8924
2:31:15,FALSE,93,F,9075
2:31:43,FALSE,93,F,9103
2:31:56,FALSE,93,F,9116
2:32:04,FALSE,93,F,9124
2:32:50,FALSE,93,F,9170
2:33:52,FALSE,93,F,9232
2:34:34,FALSE,93,F,9274
2:34:45,FALSE,93,F,9285
2:35:01,FALSE,93,F,9301
2:35:54,FALSE,93,F,9354
2:35:56,FALSE,93,F,9356
2:36:43,FALSE,93,F,9403
2:36:45,FALSE,93,F,9405
2:37:23,FALSE,93,F,9443
2:37:31,FALSE,93,F,9451
2:37:52,FALSE,93,F,9472
2:37:53,FALSE,93,F,9473
2:38:57,FALSE,93,F,9537
2:39:55,FALSE,93,F,9595
2:40:13,FALSE,93,F,9613
2:40:13,FALSE,93,F,9613
2:40:46,FALSE,93,F,9646
2:40:58,FALSE,93,F,9658
2:41:00,FALSE,93,F,9660
2:41:36,FALSE,93,F,9696
2:41:41,FALSE,93,F,9701
2:41:51,FALSE,93,F,9711
2:42:54,FALSE,93,F,9774
2:43:52,FALSE,93,F,9832
2:44:05,FALSE,93,F,9845
2:44:28,FALSE,93,F,9868
2:44:33,FALSE,93,F,9873
2:46:14,FALSE,93,F,9974
2:46:30,FALSE,93,F,9990
2:47:23,FALSE,93,F,10043
2:47:26,FALSE,93,F,10046
2:48:08,FALSE,93,F,10088
2:48:14,FALSE,93,F,10094
2:48:47,FALSE,93,F,10127
2:48:57,FALSE,93,F,10137
2:49:04,FALSE,93,F,10144
2:49:18,FALSE,93,F,10158
2:49:41,FALSE,93,F,10181
2:50:01,FALSE,93,F,10201
2:50:01,FALSE,93,F,10201
2:50:23,FALSE,93,F,10223
2:50:29,FALSE,93,F,10229
2:50:45,FALSE,93,F,10245
2:52:50,FALSE,93,F,10370
2:54:48,FALSE,93,F,10488
2:55:54,FALSE,93,F,10554
2:55:58,FALSE,93,F,10558
2:57:14,FALSE,93,F,10634
3:02:20,FALSE,93,F,10940
3:03:21,FALSE,93,F,11001
3:03:29,FALSE,93,F,11009
3:08:11,FALSE,93,F,11291
3:09:18,FALSE,93,F,11358
3:11:56,FALSE,93,F,11516
3:18:25,FALSE,93,F,11905
3:48:42,FALSE,93,F,13722
2:10:55,TRUE,84,M,7855
2:11:29,TRUE,84,M,7889
2:12:11,TRUE,84,M,7931
2:12:26,FALSE,84,M,7946
2:13:11,FALSE,84,M,7991
2:13:24,FALSE,84,M,8004
2:13:30,FALSE,84,M,8010
2:14:17,FALSE,84,M,8057
2:14:34,FALSE,84,M,8074
2:14:45,FALSE,84,M,8085
2:15:12,FALSE,84,M,8112
2:15:26,FALSE,84,M,8126
2:15:28,FALSE,84,M,8128
2:15:33,FALSE,84,M,8133
2:15:39,FALSE,84,M,8139
2:16:08,FALSE,84,M,8168
2:16:14,FALSE,84,M,8174
2:16:38,FALSE,84,M,8198
2:16:55,FALSE,84,M,8215
2:17:25,FALSE,84,M,8245
2:17:45,FALSE,84,M,8265
2:17:50,FALSE,84,M,8270
2:17:53,FALSE,84,M,8273
2:17:56,FALSE,84,M,8276
2:18:09,FALSE,84,M,8289
2:18:09,FALSE,84,M,8289
2:18:40,FALSE,84,M,8320
2:18:46,FALSE,84,M,8326
2:19:19,FALSE,84,M,8359
2:19:24,FALSE,84,M,8364
2:19:26,FALSE,84,M,8366
2:19:31,FALSE,84,M,8371
2:19:42,FALSE,84,M,8382
2:19:43,FALSE,84,M,8383
2:19:47,FALSE,84,M,8387
2:19:50,FALSE,84,M,8390
2:20:20,FALSE,84,M,8420
2:20:27,FALSE,84,M,8427
2:20:31,FALSE,84,M,8431
2:20:38,FALSE,84,M,8438
